16:46:54.365484 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:46:58.428201 IP 192.168.139.144.netbios-ns > 192.168.139.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
16:46:58.608923 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:46:59.367769 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:46:59.928849 IP 192.168.139.144.netbios-ns > 192.168.139.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
16:47:00.365669 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:47:01.342994 ARP, Request who-has 192.168.139.144 (Broadcast) tell 192.168.139.142, length 46
16:47:01.343423 ARP, Reply 192.168.139.144 is-at 00:0c:29:9c:ce:04 (oui Unknown), length 46
16:47:01.426673 IP 192.168.139.144.netbios-ns > 192.168.139.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
16:47:01.545375 IP 192.168.139.142.48732 > 192.168.139.2.domain: 52543+ PTR? 144.139.168.192.in-addr.arpa. (46)
16:47:01.550107 IP 192.168.139.2.domain > 192.168.139.142.48732: 52543 NXDomain 0/1/0 (114)
16:47:01.552079 IP 192.168.139.142.45297 > 192.168.139.144.microsoft-ds: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.763491 IP 192.168.139.144.8873 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.763511 IP 192.168.139.144.3880 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.796035 IP 192.168.139.142.45297 > 192.168.139.144.ipp: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796053 IP 192.168.139.142.45297 > 192.168.139.144.xmpp-server: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796075 IP 192.168.139.142.45297 > 192.168.139.144.20005: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796088 IP 192.168.139.142.45297 > 192.168.139.144.9535: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796104 IP 192.168.139.142.45297 > 192.168.139.144.3017: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796109 IP 192.168.139.142.45297 > 192.168.139.144.swat: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796124 IP 192.168.139.142.45297 > 192.168.139.144.27356: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796128 IP 192.168.139.142.45297 > 192.168.139.144.2967: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796142 IP 192.168.139.142.45297 > 192.168.139.144.55555: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796146 IP 192.168.139.142.45297 > 192.168.139.144.3030: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796160 IP 192.168.139.142.45297 > 192.168.139.144.2260: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796164 IP 192.168.139.142.45297 > 192.168.139.144.1047: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796178 IP 192.168.139.142.45297 > 192.168.139.144.648: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796182 IP 192.168.139.142.45297 > 192.168.139.144.5510: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796197 IP 192.168.139.142.45297 > 192.168.139.144.5003: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796200 IP 192.168.139.142.45297 > 192.168.139.144.32776: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796217 IP 192.168.139.142.45297 > 192.168.139.144.3325: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796221 IP 192.168.139.142.45297 > 192.168.139.144.1198: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796236 IP 192.168.139.142.45297 > 192.168.139.144.1083: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796240 IP 192.168.139.142.45297 > 192.168.139.144.5989: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796257 IP 192.168.139.142.45297 > 192.168.139.144.1687: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796261 IP 192.168.139.142.45297 > 192.168.139.144.ospfd: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796276 IP 192.168.139.142.45297 > 192.168.139.144.8093: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796279 IP 192.168.139.142.45297 > 192.168.139.144.1801: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796295 IP 192.168.139.142.45297 > 192.168.139.144.1091: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796299 IP 192.168.139.142.45297 > 192.168.139.144.19801: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796313 IP 192.168.139.142.45297 > 192.168.139.144.425: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796318 IP 192.168.139.142.45297 > 192.168.139.144.2366: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796333 IP 192.168.139.142.45297 > 192.168.139.144.1081: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796340 IP 192.168.139.142.45297 > 192.168.139.144.9090: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796355 IP 192.168.139.142.45297 > 192.168.139.144.4848: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796358 IP 192.168.139.142.45297 > 192.168.139.144.bacula-dir: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796378 IP 192.168.139.142.45297 > 192.168.139.144.1322: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796381 IP 192.168.139.142.45297 > 192.168.139.144.1583: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796395 IP 192.168.139.142.45297 > 192.168.139.144.6901: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796400 IP 192.168.139.142.45297 > 192.168.139.144.4343: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796416 IP 192.168.139.142.45297 > 192.168.139.144.83: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796419 IP 192.168.139.142.45297 > 192.168.139.144.1166: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796433 IP 192.168.139.142.45297 > 192.168.139.144.1201: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796437 IP 192.168.139.142.45297 > 192.168.139.144.1839: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796453 IP 192.168.139.142.45297 > 192.168.139.144.30: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796457 IP 192.168.139.142.45297 > 192.168.139.144.2968: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796471 IP 192.168.139.142.45297 > 192.168.139.144.27355: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796474 IP 192.168.139.142.45297 > 192.168.139.144.458: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796490 IP 192.168.139.142.45297 > 192.168.139.144.6025: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796494 IP 192.168.139.142.45297 > 192.168.139.144.2001: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796508 IP 192.168.139.142.45297 > 192.168.139.144.1119: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796512 IP 192.168.139.142.45297 > 192.168.139.144.1086: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796529 IP 192.168.139.142.45297 > 192.168.139.144.5102: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796533 IP 192.168.139.142.45297 > 192.168.139.144.23502: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796547 IP 192.168.139.142.45297 > 192.168.139.144.1042: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796551 IP 192.168.139.142.45297 > 192.168.139.144.5200: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796565 IP 192.168.139.142.45297 > 192.168.139.144.2045: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796570 IP 192.168.139.142.45297 > 192.168.139.144.1079: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796586 IP 192.168.139.142.45297 > 192.168.139.144.cvspserver: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796590 IP 192.168.139.142.45297 > 192.168.139.144.7103: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796604 IP 192.168.139.142.45297 > 192.168.139.144.3323: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796608 IP 192.168.139.142.45297 > 192.168.139.144.amandaidx: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796622 IP 192.168.139.142.45297 > 192.168.139.144.16080: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796627 IP 192.168.139.142.45297 > 192.168.139.144.ripd: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796641 IP 192.168.139.142.45297 > 192.168.139.144.58080: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796645 IP 192.168.139.142.45297 > 192.168.139.144.2920: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796661 IP 192.168.139.142.45297 > 192.168.139.144.21571: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796665 IP 192.168.139.142.45297 > 192.168.139.144.1163: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796690 IP 192.168.139.144.x11-5 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.796694 IP 192.168.139.144.ipp > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.796712 IP 192.168.139.144.xmpp-server > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.796715 IP 192.168.139.144.20005 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.796731 IP 192.168.139.144.9535 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.796735 IP 192.168.139.144.3017 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.796749 IP 192.168.139.144.swat > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.796753 IP 192.168.139.144.27356 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.796781 IP 192.168.139.144.2967 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.796785 IP 192.168.139.144.55555 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.796799 IP 192.168.139.144.3030 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.796803 IP 192.168.139.144.2260 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.796817 IP 192.168.139.144.1047 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.796835 IP 192.168.139.142.45297 > 192.168.139.144.49155: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796838 IP 192.168.139.142.45297 > 192.168.139.144.10004: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796856 IP 192.168.139.142.45297 > 192.168.139.144.49152: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796860 IP 192.168.139.142.45297 > 192.168.139.144.1521: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796874 IP 192.168.139.142.45297 > 192.168.139.144.2107: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796878 IP 192.168.139.142.45297 > 192.168.139.144.82: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796892 IP 192.168.139.142.45297 > 192.168.139.144.49167: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796896 IP 192.168.139.142.45297 > 192.168.139.144.417: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796911 IP 192.168.139.142.45297 > 192.168.139.144.9100: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796915 IP 192.168.139.142.45297 > 192.168.139.144.254: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796929 IP 192.168.139.142.45297 > 192.168.139.144.89: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796933 IP 192.168.139.142.45297 > 192.168.139.144.3517: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796947 IP 192.168.139.142.45297 > 192.168.139.144.5678: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796951 IP 192.168.139.142.45297 > 192.168.139.144.306: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796965 IP 192.168.139.142.45297 > 192.168.139.144.31337: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796968 IP 192.168.139.142.45297 > 192.168.139.144.6502: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796987 IP 192.168.139.142.45297 > 192.168.139.144.2013: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.796990 IP 192.168.139.142.45297 > 192.168.139.144.1071: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.797004 IP 192.168.139.142.45297 > 192.168.139.144.kerberos: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.797008 IP 192.168.139.142.45297 > 192.168.139.144.1046: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.797023 IP 192.168.139.142.45297 > 192.168.139.144.646: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.797026 IP 192.168.139.142.45297 > 192.168.139.144.rmtcfg: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.797042 IP 192.168.139.142.45297 > 192.168.139.144.afs3-kaserver: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.797046 IP 192.168.139.142.45297 > 192.168.139.144.1234: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.797060 IP 192.168.139.142.45297 > 192.168.139.144.1199: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.797064 IP 192.168.139.142.45297 > 192.168.139.144.3766: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.797091 IP 192.168.139.144.648 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.797108 IP 192.168.139.144.5510 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.797112 IP 192.168.139.144.5003 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.797137 IP 192.168.139.144.32776 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.797141 IP 192.168.139.144.3325 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.797155 IP 192.168.139.144.1198 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.797159 IP 192.168.139.144.1083 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.797362 IP 192.168.139.144.5989 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.797367 IP 192.168.139.144.1687 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.797417 IP 192.168.139.144.ospfd > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.797425 IP 192.168.139.144.8093 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.797448 IP 192.168.139.144.1801 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.797478 IP 192.168.139.144.1091 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.797486 IP 192.168.139.144.19801 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.797508 IP 192.168.139.144.425 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.797538 IP 192.168.139.144.2366 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.797545 IP 192.168.139.144.1081 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.797583 IP 192.168.139.144.9090 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.797590 IP 192.168.139.144.4848 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.797613 IP 192.168.139.144.bacula-dir > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.797619 IP 192.168.139.144.1322 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.797656 IP 192.168.139.144.1583 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.797663 IP 192.168.139.144.6901 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.797704 IP 192.168.139.144.4343 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.797711 IP 192.168.139.144.83 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.797779 IP 192.168.139.144.1166 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.797786 IP 192.168.139.144.1201 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.797828 IP 192.168.139.144.1839 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.797836 IP 192.168.139.144.30 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.797874 IP 192.168.139.144.2968 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.797882 IP 192.168.139.144.27355 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.797959 IP 192.168.139.144.458 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.797968 IP 192.168.139.144.6025 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.798007 IP 192.168.139.144.2001 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.798014 IP 192.168.139.144.1119 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.798054 IP 192.168.139.144.1086 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.798061 IP 192.168.139.144.5102 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.798126 IP 192.168.139.144.23502 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.798133 IP 192.168.139.144.1042 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.798173 IP 192.168.139.144.5200 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.798180 IP 192.168.139.144.2045 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.798244 IP 192.168.139.144.1079 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.798251 IP 192.168.139.144.cvspserver > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.798317 IP 192.168.139.144.7103 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.798324 IP 192.168.139.144.3323 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.798364 IP 192.168.139.144.amandaidx > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.798371 IP 192.168.139.144.16080 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.798408 IP 192.168.139.144.ripd > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.798416 IP 192.168.139.144.58080 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.798484 IP 192.168.139.144.2920 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.798491 IP 192.168.139.144.21571 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.798532 IP 192.168.139.144.1163 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.798539 IP 192.168.139.144.49155 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.798605 IP 192.168.139.144.10004 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.798611 IP 192.168.139.144.49152 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.798651 IP 192.168.139.144.1521 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.798660 IP 192.168.139.144.2107 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.798697 IP 192.168.139.144.82 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.798705 IP 192.168.139.144.49167 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.798774 IP 192.168.139.144.417 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.798781 IP 192.168.139.144.9100 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.798821 IP 192.168.139.144.254 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.798829 IP 192.168.139.144.89 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.798893 IP 192.168.139.144.3517 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.798899 IP 192.168.139.144.5678 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.798940 IP 192.168.139.144.306 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.798949 IP 192.168.139.144.31337 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.798987 IP 192.168.139.144.6502 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.798995 IP 192.168.139.144.2013 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.799062 IP 192.168.139.144.1071 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.799068 IP 192.168.139.144.kerberos > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.799110 IP 192.168.139.144.1046 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.799119 IP 192.168.139.144.646 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.799159 IP 192.168.139.144.rmtcfg > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.799166 IP 192.168.139.144.afs3-kaserver > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.799235 IP 192.168.139.144.1234 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.799241 IP 192.168.139.144.1199 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.801222 IP 192.168.139.144.3766 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.852918 IP 192.168.139.142.45298 > 192.168.139.144.8090: Flags [S], seq 1225451536, win 1024, options [mss 1460], length 0
16:47:02.853506 IP 192.168.139.144.8090 > 192.168.139.142.45298: Flags [R.], seq 0, ack 1225451537, win 0, length 0
16:47:02.866654 IP 192.168.139.142.45298 > 192.168.139.144.23502: Flags [S], seq 1225451536, win 1024, options [mss 1460], length 0
16:47:02.866857 IP 192.168.139.142.45298 > 192.168.139.144.5102: Flags [S], seq 1225451536, win 1024, options [mss 1460], length 0
16:47:02.867040 IP 192.168.139.142.45298 > 192.168.139.144.1086: Flags [S], seq 1225451536, win 1024, options [mss 1460], length 0
16:47:02.867182 IP 192.168.139.142.45298 > 192.168.139.144.1119: Flags [S], seq 1225451536, win 1024, options [mss 1460], length 0
16:47:02.867322 IP 192.168.139.142.45298 > 192.168.139.144.2001: Flags [S], seq 1225451536, win 1024, options [mss 1460], length 0
16:47:02.867450 IP 192.168.139.142.45298 > 192.168.139.144.6025: Flags [S], seq 1225451536, win 1024, options [mss 1460], length 0
16:47:02.867582 IP 192.168.139.142.45298 > 192.168.139.144.458: Flags [S], seq 1225451536, win 1024, options [mss 1460], length 0
16:47:02.867725 IP 192.168.139.142.45298 > 192.168.139.144.27355: Flags [S], seq 1225451536, win 1024, options [mss 1460], length 0
16:47:02.867858 IP 192.168.139.142.45298 > 192.168.139.144.2968: Flags [S], seq 1225451536, win 1024, options [mss 1460], length 0
16:47:02.867987 IP 192.168.139.142.45298 > 192.168.139.144.30: Flags [S], seq 1225451536, win 1024, options [mss 1460], length 0
16:47:02.868168 IP 192.168.139.142.45298 > 192.168.139.144.1839: Flags [S], seq 1225451536, win 1024, options [mss 1460], length 0
16:47:02.868311 IP 192.168.139.142.45298 > 192.168.139.144.1201: Flags [S], seq 1225451536, win 1024, options [mss 1460], length 0
16:47:02.868443 IP 192.168.139.142.45298 > 192.168.139.144.1166: Flags [S], seq 1225451536, win 1024, options [mss 1460], length 0
16:47:02.868584 IP 192.168.139.142.45298 > 192.168.139.144.83: Flags [S], seq 1225451536, win 1024, options [mss 1460], length 0
16:47:02.868769 IP 192.168.139.142.45298 > 192.168.139.144.4343: Flags [S], seq 1225451536, win 1024, options [mss 1460], length 0
16:47:02.868900 IP 192.168.139.142.45298 > 192.168.139.144.6901: Flags [S], seq 1225451536, win 1024, options [mss 1460], length 0
16:47:02.869102 IP 192.168.139.142.45298 > 192.168.139.144.1583: Flags [S], seq 1225451536, win 1024, options [mss 1460], length 0
