16:42:33.364744 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:42:34.584768 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:42:35.367527 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:42:36.364221 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:42:37.700042 ARP, Request who-has 192.168.139.144 (Broadcast) tell 192.168.139.142, length 46
16:42:37.700468 ARP, Reply 192.168.139.144 is-at 00:0c:29:9c:ce:04 (oui Unknown), length 46
16:42:37.901792 IP 192.168.139.142.56367 > 192.168.139.2.domain: 51859+ PTR? 144.139.168.192.in-addr.arpa. (46)
16:42:37.913834 IP 192.168.139.2.domain > 192.168.139.142.56367: 51859 NXDomain 0/1/0 (114)
16:42:37.915952 IP 192.168.139.142.56447 > 192.168.139.144.imap2: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.354400 IP 192.168.139.144.987 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.354459 IP 192.168.139.142.56447 > 192.168.139.144.2260: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.354466 IP 192.168.139.142.56447 > 192.168.139.144.683: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.354483 IP 192.168.139.142.56447 > 192.168.139.144.1010: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.354491 IP 192.168.139.144.9002 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.354494 IP 192.168.139.144.15742 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.354524 IP 192.168.139.142.56447 > 192.168.139.144.chargen: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.354543 IP 192.168.139.142.56447 > 192.168.139.144.5989: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.354549 IP 192.168.139.144.sip-tls > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.354601 IP 192.168.139.142.56447 > 192.168.139.144.64680: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.354607 IP 192.168.139.142.56447 > 192.168.139.144.9011: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.354626 IP 192.168.139.144.daytime > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.354652 IP 192.168.139.144.4129 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.354664 IP 192.168.139.142.56447 > 192.168.139.144.5877: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.354667 IP 192.168.139.142.56447 > 192.168.139.144.17988: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.354712 IP 192.168.139.142.56447 > 192.168.139.144.125: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.354716 IP 192.168.139.142.56447 > 192.168.139.144.9071: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.354734 IP 192.168.139.144.32779 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.354768 IP 192.168.139.142.56447 > 192.168.139.144.printer: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.354772 IP 192.168.139.142.56447 > 192.168.139.144.1069: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.354798 IP 192.168.139.144.280 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.354830 IP 192.168.139.142.56447 > 192.168.139.144.144: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.354834 IP 192.168.139.142.56447 > 192.168.139.144.3784: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.354861 IP 192.168.139.144.19842 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.354888 IP 192.168.139.142.56447 > 192.168.139.144.4446: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.354892 IP 192.168.139.142.56447 > 192.168.139.144.5718: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.354918 IP 192.168.139.144.2701 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.354954 IP 192.168.139.142.56447 > 192.168.139.144.5950: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.354993 IP 192.168.139.144.6059 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.355037 IP 192.168.139.144.5915 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.355081 IP 192.168.139.144.49167 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.355125 IP 192.168.139.144.7937 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.355170 IP 192.168.139.144.2099 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.355215 IP 192.168.139.144.1031 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.355259 IP 192.168.139.144.49176 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.355336 IP 192.168.139.144.32772 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.355400 IP 192.168.139.144.5000 > 192.168.139.142.56447: Flags [S.], seq 539349732, ack 552129162, win 64240, options [mss 1460], length 0
16:42:53.355462 IP 192.168.139.144.2260 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.355470 IP 192.168.139.144.683 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.355541 IP 192.168.139.142.56447 > 192.168.139.144.5000: Flags [R], seq 552129162, win 0, length 0
16:42:53.355552 IP 192.168.139.144.1010 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.355557 IP 192.168.139.144.chargen > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.355618 IP 192.168.139.144.5989 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.355624 IP 192.168.139.144.64680 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.355696 IP 192.168.139.144.9011 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.355756 IP 192.168.139.144.5877 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.355762 IP 192.168.139.144.17988 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.355819 IP 192.168.139.144.125 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.355874 IP 192.168.139.144.9071 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.355944 IP 192.168.139.144.printer > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.355953 IP 192.168.139.144.1069 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.356004 IP 192.168.139.144.144 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.356011 IP 192.168.139.144.3784 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.356034 IP 192.168.139.144.4446 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.356088 IP 192.168.139.144.5718 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.356095 IP 192.168.139.144.5950 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.357419 IP 192.168.139.142.56447 > 192.168.139.144.8001: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.357489 IP 192.168.139.142.56447 > 192.168.139.144.8600: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.357496 IP 192.168.139.142.56447 > 192.168.139.144.1718: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.357538 IP 192.168.139.142.56447 > 192.168.139.144.8042: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.357568 IP 192.168.139.142.56447 > 192.168.139.144.9099: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.357575 IP 192.168.139.142.56447 > 192.168.139.144.5906: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.357635 IP 192.168.139.142.56447 > 192.168.139.144.19350: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.357642 IP 192.168.139.142.56447 > 192.168.139.144.1021: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.357701 IP 192.168.139.142.56447 > 192.168.139.144.32775: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.357709 IP 192.168.139.142.56447 > 192.168.139.144.1104: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.357768 IP 192.168.139.142.56447 > 192.168.139.144.3324: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.357776 IP 192.168.139.142.56447 > 192.168.139.144.swat: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.357817 IP 192.168.139.142.56447 > 192.168.139.144.2638: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.357846 IP 192.168.139.142.56447 > 192.168.139.144.1914: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.357853 IP 192.168.139.142.56447 > 192.168.139.144.9111: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.357914 IP 192.168.139.142.56447 > 192.168.139.144.9110: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.357949 IP 192.168.139.142.56447 > 192.168.139.144.1111: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.357956 IP 192.168.139.142.56447 > 192.168.139.144.1533: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.358001 IP 192.168.139.142.56447 > 192.168.139.144.1169: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.358012 IP 192.168.139.142.56447 > 192.168.139.144.49165: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.358054 IP 192.168.139.142.56447 > 192.168.139.144.10010: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.358084 IP 192.168.139.142.56447 > 192.168.139.144.kx: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.358115 IP 192.168.139.142.56447 > 192.168.139.144.3372: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.358122 IP 192.168.139.142.56447 > 192.168.139.144.5925: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.358178 IP 192.168.139.142.56447 > 192.168.139.144.7911: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.358186 IP 192.168.139.142.56447 > 192.168.139.144.2009: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.358230 IP 192.168.139.142.56447 > 192.168.139.144.sip: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.358238 IP 192.168.139.142.56447 > 192.168.139.144.1501: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.358268 IP 192.168.139.142.56447 > 192.168.139.144.32777: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.358275 IP 192.168.139.142.56447 > 192.168.139.144.30: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.358298 IP 192.168.139.142.56447 > 192.168.139.144.1783: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.358305 IP 192.168.139.142.56447 > 192.168.139.144.proofd: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.358330 IP 192.168.139.142.56447 > 192.168.139.144.20005: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.358336 IP 192.168.139.142.56447 > 192.168.139.144.3551: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.358357 IP 192.168.139.142.56447 > 192.168.139.144.3325: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.358363 IP 192.168.139.142.56447 > 192.168.139.144.1108: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.358387 IP 192.168.139.142.56447 > 192.168.139.144.2525: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.358395 IP 192.168.139.142.56447 > 192.168.139.144.webmin: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.358418 IP 192.168.139.142.56447 > 192.168.139.144.1296: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.358426 IP 192.168.139.142.56447 > 192.168.139.144.6901: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.358448 IP 192.168.139.142.56447 > 192.168.139.144.2068: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.358455 IP 192.168.139.142.56447 > 192.168.139.144.3268: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.358476 IP 192.168.139.142.56447 > 192.168.139.144.1719: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.358483 IP 192.168.139.142.56447 > 192.168.139.144.ipp: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.358506 IP 192.168.139.142.56447 > 192.168.139.144.kpasswd: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.358513 IP 192.168.139.142.56447 > 192.168.139.144.5100: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.358534 IP 192.168.139.142.56447 > 192.168.139.144.1070: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.358540 IP 192.168.139.142.56447 > 192.168.139.144.16113: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.358563 IP 192.168.139.142.56447 > 192.168.139.144.8180: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.358569 IP 192.168.139.142.56447 > 192.168.139.144.6502: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.358612 IP 192.168.139.144.8001 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.358618 IP 192.168.139.144.8600 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.358642 IP 192.168.139.144.1718 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.358657 IP 192.168.139.144.8042 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.358696 IP 192.168.139.144.9099 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.358704 IP 192.168.139.144.5906 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.358726 IP 192.168.139.144.19350 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.358733 IP 192.168.139.144.1021 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.358773 IP 192.168.139.144.32775 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.358780 IP 192.168.139.144.1104 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.358801 IP 192.168.139.144.3324 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.358809 IP 192.168.139.144.swat > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.358848 IP 192.168.139.144.2638 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.358856 IP 192.168.139.144.1914 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.358879 IP 192.168.139.144.9111 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.358886 IP 192.168.139.144.9110 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.358930 IP 192.168.139.144.1111 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.358938 IP 192.168.139.144.1533 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.358960 IP 192.168.139.144.1169 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.358967 IP 192.168.139.144.49165 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.358989 IP 192.168.139.144.10010 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.359018 IP 192.168.139.144.kx > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.359026 IP 192.168.139.144.3372 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.359049 IP 192.168.139.144.5925 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.359056 IP 192.168.139.144.7911 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.359078 IP 192.168.139.144.2009 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.359085 IP 192.168.139.144.sip > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.359123 IP 192.168.139.144.1501 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.359131 IP 192.168.139.144.32777 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.359155 IP 192.168.139.144.30 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.359162 IP 192.168.139.144.1783 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.359201 IP 192.168.139.144.proofd > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.359210 IP 192.168.139.144.20005 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.359233 IP 192.168.139.144.3551 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.359293 IP 192.168.139.144.3325 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.359300 IP 192.168.139.144.1108 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.359370 IP 192.168.139.144.2525 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.359378 IP 192.168.139.144.webmin > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.359480 IP 192.168.139.144.1296 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.359497 IP 192.168.139.144.6901 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.359589 IP 192.168.139.144.2068 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.359607 IP 192.168.139.144.3268 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.359669 IP 192.168.139.144.1719 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.359677 IP 192.168.139.144.ipp > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.359771 IP 192.168.139.144.kpasswd > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.359779 IP 192.168.139.144.5100 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.359869 IP 192.168.139.144.1070 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.359887 IP 192.168.139.144.16113 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.359964 IP 192.168.139.144.8180 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.359972 IP 192.168.139.144.6502 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.361306 IP 192.168.139.142.56447 > 192.168.139.144.10215: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.361314 IP 192.168.139.142.56447 > 192.168.139.144.6101: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.361384 IP 192.168.139.142.56447 > 192.168.139.144.49154: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.361433 IP 192.168.139.142.56447 > 192.168.139.144.9500: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.361440 IP 192.168.139.142.56447 > 192.168.139.144.1147: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.361483 IP 192.168.139.142.56447 > 192.168.139.144.5544: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.361512 IP 192.168.139.142.56447 > 192.168.139.144.8254: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.361519 IP 192.168.139.142.56447 > 192.168.139.144.5960: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.361562 IP 192.168.139.142.56447 > 192.168.139.144.x11-6: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.361594 IP 192.168.139.142.56447 > 192.168.139.144.1801: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.361624 IP 192.168.139.142.56447 > 192.168.139.144.1054: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.361631 IP 192.168.139.142.56447 > 192.168.139.144.8652: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.361685 IP 192.168.139.142.56447 > 192.168.139.144.1187: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.361693 IP 192.168.139.142.56447 > 192.168.139.144.1234: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.361738 IP 192.168.139.142.56447 > 192.168.139.144.eklogin: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.361767 IP 192.168.139.142.56447 > 192.168.139.144.4848: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.361803 IP 192.168.139.142.56447 > 192.168.139.144.1100: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.361832 IP 192.168.139.142.56447 > 192.168.139.144.6646: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.361861 IP 192.168.139.142.56447 > 192.168.139.144.3527: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.361868 IP 192.168.139.142.56447 > 192.168.139.144.9876: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.361908 IP 192.168.139.142.56447 > 192.168.139.144.5003: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.361937 IP 192.168.139.142.56447 > 192.168.139.144.458: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.361968 IP 192.168.139.142.56447 > 192.168.139.144.bpjava-msvc: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.361997 IP 192.168.139.142.56447 > 192.168.139.144.705: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.362004 IP 192.168.139.142.56447 > 192.168.139.144.6666: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.362064 IP 192.168.139.142.56447 > 192.168.139.144.6389: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.362072 IP 192.168.139.142.56447 > 192.168.139.144.1999: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.362113 IP 192.168.139.142.56447 > 192.168.139.144.1641: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.362121 IP 192.168.139.142.56447 > 192.168.139.144.2045: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.362143 IP 192.168.139.142.56447 > 192.168.139.144.1862: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.362150 IP 192.168.139.142.56447 > 192.168.139.144.3920: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.362176 IP 192.168.139.142.56447 > 192.168.139.144.726: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.362187 IP 192.168.139.142.56447 > 192.168.139.144.6788: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.362212 IP 192.168.139.142.56447 > 192.168.139.144.8651: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.362219 IP 192.168.139.142.56447 > 192.168.139.144.5963: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.362241 IP 192.168.139.142.56447 > 192.168.139.144.7625: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.362247 IP 192.168.139.142.56447 > 192.168.139.144.nameserver: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.362273 IP 192.168.139.142.56447 > 192.168.139.144.gris: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.362280 IP 192.168.139.142.56447 > 192.168.139.144.svrloc: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.362304 IP 192.168.139.142.56447 > 192.168.139.144.5214: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.362311 IP 192.168.139.142.56447 > 192.168.139.144.7777: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.362333 IP 192.168.139.142.56447 > 192.168.139.144.bacula-dir: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.362340 IP 192.168.139.142.56447 > 192.168.139.144.ftps: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.362365 IP 192.168.139.142.56447 > 192.168.139.144.9968: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.362372 IP 192.168.139.142.56447 > 192.168.139.144.9415: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.362394 IP 192.168.139.142.56447 > 192.168.139.144.32776: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.362401 IP 192.168.139.142.56447 > 192.168.139.144.ospfapi: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.362426 IP 192.168.139.142.56447 > 192.168.139.144.gopher: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.362437 IP 192.168.139.142.56447 > 192.168.139.144.497: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.362462 IP 192.168.139.142.56447 > 192.168.139.144.1126: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:53.362487 IP 192.168.139.144.10215 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:53.362493 IP 192.168.139.144.6101 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
