17:11:35.898180 ARP, Request who-has 192.168.5.130 (Broadcast) tell 192.168.5.129, length 46
17:11:35.898660 ARP, Reply 192.168.5.130 is-at 00:0c:29:36:59:9f (oui Unknown), length 46
17:11:36.100578 IP 192.168.5.129.43804 > 192.168.5.2.domain: 56286+ PTR? 130.5.168.192.in-addr.arpa. (44)
17:11:36.103965 IP 192.168.5.2.domain > 192.168.5.129.43804: 56286 NXDomain 0/0/0 (44)
17:11:36.105885 IP 192.168.5.129.58717 > 192.168.5.130.1723: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.939846 IP 192.168.5.129.58717 > 192.168.5.130.1641: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.939941 IP 192.168.5.129.58717 > 192.168.5.130.ldaps: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.939948 IP 192.168.5.129.58717 > 192.168.5.130.34571: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.940037 IP 192.168.5.130.24 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.940041 IP 192.168.5.130.48080 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.940064 IP 192.168.5.130.84 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.940069 IP 192.168.5.130.6792 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.940092 IP 192.168.5.130.264 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.940096 IP 192.168.5.130.6881 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.940115 IP 192.168.5.130.1719 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.940118 IP 192.168.5.130.15002 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.940139 IP 192.168.5.130.4900 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.940142 IP 192.168.5.130.2020 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.940165 IP 192.168.5.130.5087 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.940170 IP 192.168.5.130.55555 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.940199 IP 192.168.5.130.2042 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.940205 IP 192.168.5.130.18101 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.940232 IP 192.168.5.130.2004 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.940239 IP 192.168.5.130.1192 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.940272 IP 192.168.5.130.3809 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.940281 IP 192.168.5.130.1010 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.940308 IP 192.168.5.130.1583 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.940315 IP 192.168.5.130.9207 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.940343 IP 192.168.5.130.3221 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.940348 IP 192.168.5.130.7777 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.940387 IP 192.168.5.129.58717 > 192.168.5.130.1443: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.940392 IP 192.168.5.129.58717 > 192.168.5.130.5440: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.940426 IP 192.168.5.129.58717 > 192.168.5.130.1058: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.940433 IP 192.168.5.129.58717 > 192.168.5.130.2323: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.940459 IP 192.168.5.129.58717 > 192.168.5.130.1163: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.940465 IP 192.168.5.129.58717 > 192.168.5.130.1322: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.940491 IP 192.168.5.129.58717 > 192.168.5.130.1113: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.940495 IP 192.168.5.129.58717 > 192.168.5.130.3031: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.940518 IP 192.168.5.129.58717 > 192.168.5.130.6123: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.940523 IP 192.168.5.129.58717 > 192.168.5.130.5952: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.940546 IP 192.168.5.129.58717 > 192.168.5.130.ipp: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.940551 IP 192.168.5.129.58717 > 192.168.5.130.3766: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.940574 IP 192.168.5.129.58717 > 192.168.5.130.3211: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.940578 IP 192.168.5.129.58717 > 192.168.5.130.49175: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.940601 IP 192.168.5.129.58717 > 192.168.5.130.9000: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.940606 IP 192.168.5.129.58717 > 192.168.5.130.1147: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.940631 IP 192.168.5.129.58717 > 192.168.5.130.8652: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.940635 IP 192.168.5.129.58717 > 192.168.5.130.1048: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.940680 IP 192.168.5.129.58717 > 192.168.5.130.40193: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.940684 IP 192.168.5.129.58717 > 192.168.5.130.54045: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.940724 IP 192.168.5.129.58717 > 192.168.5.130.omniorb: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.940728 IP 192.168.5.129.58717 > 192.168.5.130.2998: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.940752 IP 192.168.5.129.58717 > 192.168.5.130.6567: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.940756 IP 192.168.5.129.58717 > 192.168.5.130.593: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.940799 IP 192.168.5.129.58717 > 192.168.5.130.ftps: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.940803 IP 192.168.5.129.58717 > 192.168.5.130.1328: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.940826 IP 192.168.5.129.58717 > 192.168.5.130.30718: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.940830 IP 192.168.5.129.58717 > 192.168.5.130.8082: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.940874 IP 192.168.5.129.58717 > 192.168.5.130.911: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.940878 IP 192.168.5.129.58717 > 192.168.5.130.900: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.940921 IP 192.168.5.129.58717 > 192.168.5.130.2809: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.940925 IP 192.168.5.129.58717 > 192.168.5.130.32777: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.941252 IP 192.168.5.130.20005 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.941259 IP 192.168.5.130.1984 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.941297 IP 192.168.5.130.1641 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.941303 IP 192.168.5.130.ldaps > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.941329 IP 192.168.5.130.34571 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.941338 IP 192.168.5.130.1443 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.941366 IP 192.168.5.130.5440 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.941375 IP 192.168.5.130.1058 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.941402 IP 192.168.5.130.2323 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.941411 IP 192.168.5.130.1163 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.941438 IP 192.168.5.130.1322 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.941447 IP 192.168.5.130.1113 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.941475 IP 192.168.5.130.3031 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.941483 IP 192.168.5.130.6123 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.941511 IP 192.168.5.130.5952 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.941519 IP 192.168.5.130.ipp > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.941550 IP 192.168.5.130.3766 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.941558 IP 192.168.5.130.3211 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.941583 IP 192.168.5.130.49175 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.941592 IP 192.168.5.130.9000 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.941620 IP 192.168.5.130.1147 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.941628 IP 192.168.5.130.8652 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.941655 IP 192.168.5.130.1048 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.943072 IP 192.168.5.130.40193 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.943160 IP 192.168.5.130.54045 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.943171 IP 192.168.5.130.omniorb > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.943201 IP 192.168.5.130.2998 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.943208 IP 192.168.5.130.6567 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.943233 IP 192.168.5.130.593 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.943237 IP 192.168.5.130.ftps > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.943265 IP 192.168.5.130.1328 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.943273 IP 192.168.5.130.30718 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.943323 IP 192.168.5.130.8082 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.943337 IP 192.168.5.130.911 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.943379 IP 192.168.5.130.900 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.943393 IP 192.168.5.130.2809 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.943440 IP 192.168.5.130.32777 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.943468 IP 192.168.5.129.58717 > 192.168.5.130.2107: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.943473 IP 192.168.5.129.58717 > 192.168.5.130.99: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.943536 IP 192.168.5.129.58717 > 192.168.5.130.50001: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.943574 IP 192.168.5.129.58717 > 192.168.5.130.10628: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.943835 IP 192.168.5.129.58717 > 192.168.5.130.30000: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.943855 IP 192.168.5.129.58717 > 192.168.5.130.x11-5: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.943899 IP 192.168.5.129.58717 > 192.168.5.130.8031: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.943906 IP 192.168.5.129.58717 > 192.168.5.130.1494: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.943938 IP 192.168.5.129.58717 > 192.168.5.130.7921: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.943947 IP 192.168.5.129.58717 > 192.168.5.130.bacula-fd: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.943976 IP 192.168.5.129.58717 > 192.168.5.130.1138: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.943981 IP 192.168.5.129.58717 > 192.168.5.130.1914: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.944002 IP 192.168.5.129.58717 > 192.168.5.130.7625: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.944006 IP 192.168.5.129.58717 > 192.168.5.130.3880: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.944045 IP 192.168.5.129.58717 > 192.168.5.130.rmtcfg: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.944058 IP 192.168.5.129.58717 > 192.168.5.130.1166: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.944137 IP 192.168.5.129.58717 > 192.168.5.130.8086: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.944142 IP 192.168.5.129.58717 > 192.168.5.130.5678: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.944169 IP 192.168.5.129.58717 > 192.168.5.130.301: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.944173 IP 192.168.5.129.58717 > 192.168.5.130.2710: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.944268 IP 192.168.5.129.58717 > 192.168.5.130.1007: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.944275 IP 192.168.5.129.58717 > 192.168.5.130.2301: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.944304 IP 192.168.5.129.58717 > 192.168.5.130.4279: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.944345 IP 192.168.5.129.58717 > 192.168.5.130.7920: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.944385 IP 192.168.5.129.58717 > 192.168.5.130.1287: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.944422 IP 192.168.5.129.58717 > 192.168.5.130.1002: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.944451 IP 192.168.5.129.58717 > 192.168.5.130.4242: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.944477 IP 192.168.5.129.58717 > 192.168.5.130.1175: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.944562 IP 192.168.5.129.58717 > 192.168.5.130.49152: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.944566 IP 192.168.5.129.58717 > 192.168.5.130.4045: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.944590 IP 192.168.5.129.58717 > 192.168.5.130.9200: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.944593 IP 192.168.5.129.58717 > 192.168.5.130.customs: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.944624 IP 192.168.5.130.2107 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.944647 IP 192.168.5.130.99 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.944651 IP 192.168.5.130.50001 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.944674 IP 192.168.5.130.10628 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.944678 IP 192.168.5.130.30000 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.944697 IP 192.168.5.130.x11-5 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.944700 IP 192.168.5.130.8031 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.944721 IP 192.168.5.130.1494 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.944725 IP 192.168.5.130.7921 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.944745 IP 192.168.5.130.bacula-fd > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.944749 IP 192.168.5.130.1138 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.944769 IP 192.168.5.130.1914 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.944774 IP 192.168.5.130.7625 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.944794 IP 192.168.5.130.3880 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.944799 IP 192.168.5.130.rmtcfg > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.944829 IP 192.168.5.130.1166 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.944837 IP 192.168.5.130.8086 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.944871 IP 192.168.5.130.5678 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.944880 IP 192.168.5.130.301 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.944908 IP 192.168.5.130.2710 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.944915 IP 192.168.5.130.1007 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.944950 IP 192.168.5.130.2301 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.944958 IP 192.168.5.130.4279 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.944997 IP 192.168.5.129.58717 > 192.168.5.130.2191: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.945002 IP 192.168.5.129.58717 > 192.168.5.130.1033: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.945031 IP 192.168.5.129.58717 > 192.168.5.130.webmin: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.945040 IP 192.168.5.129.58717 > 192.168.5.130.qotd: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.945073 IP 192.168.5.129.58717 > 192.168.5.130.10180: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.945079 IP 192.168.5.129.58717 > 192.168.5.130.60443: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.945101 IP 192.168.5.129.58717 > 192.168.5.130.8291: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.945105 IP 192.168.5.129.58717 > 192.168.5.130.5631: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.945126 IP 192.168.5.129.58717 > 192.168.5.130.5102: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.945130 IP 192.168.5.129.58717 > 192.168.5.130.2394: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.945151 IP 192.168.5.129.58717 > 192.168.5.130.1026: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.945154 IP 192.168.5.129.58717 > 192.168.5.130.1718: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.945231 IP 192.168.5.129.58717 > 192.168.5.130.5950: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.945235 IP 192.168.5.129.58717 > 192.168.5.130.2041: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.945262 IP 192.168.5.129.58717 > 192.168.5.130.kshell: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.945266 IP 192.168.5.129.58717 > 192.168.5.130.21571: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.945351 IP 192.168.5.129.58717 > 192.168.5.130.9009: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.945355 IP 192.168.5.129.58717 > 192.168.5.130.50002: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.945568 IP 192.168.5.130.7920 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.945575 IP 192.168.5.130.1287 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.945610 IP 192.168.5.130.1002 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.945614 IP 192.168.5.130.4242 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.945631 IP 192.168.5.130.1175 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.945634 IP 192.168.5.130.49152 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.945650 IP 192.168.5.130.4045 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.945658 IP 192.168.5.130.9200 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.945684 IP 192.168.5.130.customs > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.945688 IP 192.168.5.130.2191 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.945709 IP 192.168.5.130.1033 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.945714 IP 192.168.5.130.webmin > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.945736 IP 192.168.5.130.qotd > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.945741 IP 192.168.5.130.10180 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.945762 IP 192.168.5.130.60443 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.945766 IP 192.168.5.130.8291 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.945791 IP 192.168.5.130.5631 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.945795 IP 192.168.5.130.5102 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.945819 IP 192.168.5.130.2394 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.945825 IP 192.168.5.130.1026 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.945850 IP 192.168.5.130.1718 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.945854 IP 192.168.5.130.5950 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.945878 IP 192.168.5.130.2041 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.945883 IP 192.168.5.130.kshell > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.951067 IP 192.168.5.130.21571 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.951085 IP 192.168.5.130.9009 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.951130 IP 192.168.5.130.50002 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:48.951143 IP 192.168.5.129.58717 > 192.168.5.130.xmpp-client: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.951205 IP 192.168.5.129.58717 > 192.168.5.130.2190: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.951258 IP 192.168.5.129.58717 > 192.168.5.130.8194: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.951296 IP 192.168.5.129.58717 > 192.168.5.130.ms-sql-s: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.951369 IP 192.168.5.129.58717 > 192.168.5.130.19350: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.951412 IP 192.168.5.129.58717 > 192.168.5.130.49153: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.951494 IP 192.168.5.129.58717 > 192.168.5.130.3920: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.951507 IP 192.168.5.129.58717 > 192.168.5.130.5850: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.951573 IP 192.168.5.129.58717 > 192.168.5.130.2196: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.951587 IP 192.168.5.129.58717 > 192.168.5.130.20222: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.951627 IP 192.168.5.129.58717 > 192.168.5.130.4000: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.951699 IP 192.168.5.129.58717 > 192.168.5.130.9011: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.951773 IP 192.168.5.129.58717 > 192.168.5.130.1183: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.951785 IP 192.168.5.129.58717 > 192.168.5.130.2200: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:48.951851 IP 192.168.5.129.58717 > 192.168.5.130.amandaidx: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
